Longitude,Latitude,TotalPowerDbm
117.566,24.4798,-53.8649
117.566,24.4888,-48.1912
117.566,24.4978,-56.4744
117.566,24.5068,-48.52
117.566,24.5158,-47.6346
117.566,24.5248,-54.1297
117.566,24.5338,-61.6498
117.566,24.5428,-58.3857
117.566,24.5517,-46.0558
117.566,24.5607,-59.7824
117.566,24.5697,-52.5983
117.566,24.5787,-57.8554
117.566,24.5877,-65.9714
117.566,24.5967,-50.6187
117.566,24.6057,-57.9946
117.566,24.6147,-54.2952
117.566,24.6237,-57.0619
117.566,24.6327,-57.1456
117.566,24.6417,-58.3487
117.566,24.6507,-58.0585
117.566,24.6597,-63.1101
117.566,24.6687,-62.6742
117.566,24.6777,-53.7493
117.566,24.6866,-55.4949
117.566,24.6956,-59.0441
117.566,24.7046,-54.2544
117.566,24.7136,-65.9027
117.566,24.7226,-56.0926
117.566,24.7316,-59.0393
117.566,24.7406,-55.9017
117.566,24.7496,-57.0389
117.576,24.21,-59.0863
117.576,24.219,-65.0401
117.576,24.228,-59.2866
117.576,24.237,-65.3321
117.576,24.246,-57.1721
117.576,24.255,-66.1202
117.576,24.264,-54.8576
117.576,24.273,-63.878
117.576,24.2819,-56.5427
117.576,24.2909,-56.9304
117.576,24.2999,-63.2126
117.576,24.3089,-63.9329
117.576,24.3179,-51.599
117.576,24.3269,-59.0675
117.576,24.3359,-59.6075
117.576,24.3449,-56.8386
117.576,24.3539,-51.5074
117.576,24.3629,-52.8992
117.576,24.3719,-56.86
117.576,24.3809,-48.7824
117.576,24.3899,-55.4628
117.576,24.3989,-50.3719
117.576,24.4079,-48.067
117.576,24.4168,-56.9386
117.576,24.4258,-57.2154
117.576,24.4348,-63.0514
117.576,24.4438,-46.8724
117.576,24.4528,-59.2298
117.576,24.4618,-48.7552
117.576,24.4708,-54.8362
117.576,24.4798,-56.4647
117.576,24.4888,-58.3215
117.576,24.4978,-53.7218
117.576,24.5068,-55.5223
117.576,24.5158,-57.1987
117.576,24.5248,-54.8573
117.576,24.5338,-45.1239
117.576,24.5428,-63.2423
117.576,24.5517,-59.7731
117.576,24.5607,-58.9496
117.576,24.5697,-44.5492
117.576,24.5787,-52.3199
117.576,24.5877,-54.2915
117.576,24.5967,-65.8877
117.576,24.6057,-56.6274
117.576,24.6147,-53.38
117.576,24.6237,-63.7914
117.576,24.6327,-55.0086
117.576,24.6417,-53.9078
117.576,24.6507,-57.8998
117.576,24.6597,-59.7649
117.576,24.6687,-60.4949
117.576,24.6777,-50.9674
117.576,24.6866,-57.6159
117.576,24.6956,-61.309
117.576,24.7046,-62.5455
117.576,24.7136,-58.0704
117.576,24.7226,-59.1329
117.576,24.7316,-58.5329
117.576,24.7406,-56.0786
117.576,24.7496,-60.494
117.586,24.21,-64.9776
117.586,24.219,-58.8805
117.586,24.228,-61.3151
117.586,24.237,-63.5434
117.586,24.246,-62.155
117.586,24.255,-58.5855
117.586,24.264,-62.7117
117.586,24.273,-56.7175
117.586,24.2819,-55.3643
117.586,24.2909,-58.0578
117.586,24.2999,-62.0549
117.586,24.3089,-52.4293
117.586,24.3179,-58.8285
117.586,24.3269,-52.2702
117.586,24.3359,-54.6484
117.586,24.3449,-53.1585
117.586,24.3539,-57.4557
117.586,24.3629,-59.5623
117.586,24.3719,-42.3576
117.586,24.3809,-49.5352
117.586,24.3899,-61.5277
117.586,24.3989,-55.9077
117.586,24.4079,-58.2492
117.586,24.4168,-62.4238
117.586,24.4258,-56.1045
117.586,24.4348,-51.6223
117.586,24.4438,-52.1514
117.586,24.4528,-52.8702
117.586,24.4618,-56.4626
117.586,24.4708,-52.1678
117.586,24.4798,-54.1812
117.586,24.4888,-47.2251
117.586,24.4978,-49.2477
117.586,24.5068,-59.3499
117.586,24.5158,-54.4905
117.586,24.5248,-47.3367
117.586,24.5338,-48.8108
117.586,24.5428,-55.1162
117.586,24.5517,-58.4861
117.586,24.5607,-58.1889
117.586,24.5697,-51.2274
117.586,24.5787,-59.3788
117.586,24.5877,-58.7533
117.586,24.5967,-51.9692
117.586,24.6057,-44.089
117.586,24.6147,-48.7873
117.586,24.6237,-57.7084
117.586,24.6327,-62.0163
117.586,24.6417,-51.5513
117.586,24.6507,-55.5297
117.586,24.6597,-57.0765
117.586,24.6687,-60.1644
117.586,24.6777,-59.0849
117.586,24.6866,-59.3883
117.586,24.6956,-63.9134
117.586,24.7046,-61.0665
117.586,24.7136,-56.4795
117.586,24.7226,-53.2359
117.586,24.7316,-64.9568
117.586,24.7406,-58.8637
117.586,24.7496,-56.1149
117.595,24.21,-59.254
